Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Best Validation Accuracy,Epochs,Training Time Seconds,Correct Predictions,Incorrect Predictions
Baseline CNN,0.9444444444444444,0.9445355968450432,0.9444444444444444,0.9442188648710388,0.9555555555555556,5,455.5625636577606,255,15
MobileNetV2 Frozen,0.9962962962962963,0.9963768115942028,0.9962962962962963,0.9962958389924682,0.9962962962962963,10,,269,1
MobileNetV2 Fine-Tuned,1.0,1.0,1.0,1.0,1.0,5,,270,0
ResNet18,0.9814814814814816,0.9817125152231536,0.9814814814814816,0.9814787674826756,0.9888888888888888,10,2059.637449026108,265,5
